crew_name,id_movie
Albert Lamorisse,"[15265, 15382]"
Albert Lewin,"[38688, 16559, 118536, 191186, 56146]"
Albert Magnoli,"[9618, 13763, 38178, 45930, 94236]"
Albert Maysles,"[132, 17346, 27375, 47491, 295799, 332739, 25019, 270251, 298662]"
Albert Parker,"[50075, 53800]"
Albert Pereira-Lazaro,[19106]
Albert Pyun,"[63105, 55687, 10134, 13945, 24993, 31397, 68773, 13995, 26103, 31002, 140172, 109466, 47065, 47342, 28790, 50346, 25706, 17135, 243856, 71841, 280495, 88253, 52627, 60173, 107096, 128598, 146926, 38134, 122894, 43913, 41628, 24230]"
Albert Ray,"[76964, 22689]"
Albert S. Mkrtchyan,[57757]
Albert S. Rogell,"[176810, 40719, 29286, 335509]"
Albert Serra,"[119905, 214251, 371859]"
Albert Uderzo,"[9929, 9385]"
Albert Xavier,[339320]
Albert Zugsmith,"[59101, 5744]"
Albertina Carri,[30688]
Alberto Arvelo Mendoza,[132342]
Alberto Cardone,"[126421, 143747]"
Alberto Cavalcanti,"[13581, 23924, 49334]"
Alberto Cavallone,[104320]
Alberto Cortés,[249368]
Alberto De Martino,"[31278, 84425, 46158, 200863, 136576, 28536, 105098, 158079, 203888, 112503, 98085, 79426, 78546, 29607]"
Alberto Fuguet,[180998]
Alberto G. Rodriguez,[434758]
Alberto Lattuada,"[34866, 43389, 93834, 31214, 185078, 146783, 31293, 276518, 199198, 82858, 83782, 73697, 82066, 105687, 276155]"
Alberto Mar,[78570]
Alberto Marini,[306966]
Alberto Negrin,[12443]
Alberto Rodríguez,"[481, 39172, 236735, 98582, 361777, 411221]"
Alberto Sciamma,[89591]
Alberto Sordi,"[146132, 60038, 57999, 47245, 82350]"
Alberto Vázquez,[361705]
Albrecht Viktor Blum,[190000]
Alby Falzon,[37545]
Aldo Baglio,"[38396, 50531, 310126, 38286, 38397]"
Aldo Lado,"[39988, 39993, 73065, 69576]"
Aldo Monti,[226524]
Alec Baldwin,[33932]
Alec C. Snowden,[93006]
Alec Gillis,[296130]
Alec Mouhibian,[332286]
Alec Su,[446076]
Alec Tuckman,[128862]
Alejandro Agresti,"[30125, 2044, 288151, 56949]"
Alejandro Amenábar,"[1902, 1933, 9299, 1913, 26428, 241257]"
Alejandro Brugués,"[74726, 193726]"
Alejandro Chomski,"[30319, 58197]"
Alejandro Doria,"[127326, 13651]"
Alejandro Fadel,[126883]
Alejandro Fernández Almendras,"[250374, 70747, 371465]"
Alejandro González Iñárritu,"[55, 470, 1926, 1164, 36108, 45958, 194662, 38187, 281957]"
Alejandro Hidalgo,[207686]
Alejandro Javaloyas,[75232]
Alejandro Jodorowsky,"[19236, 33257, 13041, 8327, 137698, 32891, 86942, 35165, 325385]"
Alejandro Monteverde,"[12586, 256962]"
Alejandro Sessa,[48180]
Alejandro Springall,[46835]
Alejandro Stoessel,[132298]
Alejandro Sugich,[269572]
Alejo Flah,[214758]
Alejo Moguillansky,[288312]
Alek Keshishian,"[16297, 10174, 6641]"
Alekos Sakellarios,"[297560, 266549, 331958, 288526, 64674, 379508, 296344, 301491, 297342]"
Aleksa Gajić,[38248]
Aleksandar Manić,[167548]
Aleksandar Petrović,"[59088, 127083, 202768, 80701]"
Aleksandar Popovski,[90762]
Aleksander Bach,[249070]
Aleksander Khramtsov,[260310]
Aleksander Nordaas,[53567]
Aleksandr Adabashyan,[94052]
Aleksandr Alov,"[2371, 95431]"
Aleksandr Amirov,[419428]
Aleksandr Askoldov,[71336]
Aleksandr Atanesyan,"[62678, 51267, 77512]"
Aleksandr Baranov,"[85317, 164013]"
Aleksandr Barshak,[376716]
Aleksandr Basaev,[395914]
Aleksandr Buravsky,[2325]
Aleksandr Dovzhenko,"[46594, 85715, 268669, 82088]"
Aleksandr Dulerayn,[112090]
Aleksandr Efremov,[23808]
Aleksandr Gintsburg,[74695]
Aleksandr Gordon,[45590]
Aleksandr Gromov,[316269]
Aleksandr Karpilovskiy,"[313556, 248747]"
Aleksandr Kaydanovskiy,[260969]
Aleksandr Kott,"[50618, 85317, 278717, 430413, 313556, 248747]"
Aleksandr Lyutkevich,[41581]
Aleksandr Medvedkin,[93743]
Aleksandr Melnik,"[335724, 30858]"
Aleksandr Mindadze,[352720]
Aleksandr Mitta,"[72892, 167858]"
Aleksandr Muratov,[143005]
Aleksandr Nevzorov,[109535]
Aleksandr Nezlobin,[415892]
Aleksandr Pavlovskiy,[191096]
Aleksandr Petrov,"[104522, 118794, 168478, 69484, 38577, 119855]"
Aleksandr Polynnikov,[142746]
Aleksandr Proshkin,"[71393, 56820, 240789]"
Aleksandr Ptushko,"[118153, 155399, 46997, 152948, 239536, 20946]"
Aleksandr Rogozhkin,"[554, 20882, 56549, 20883]"
Aleksandr Rou,"[72968, 83429, 20891, 20934, 14482, 20932]"
Aleksandr Sanin,[175597]
Aleksandr Seryj,[20871]
Aleksandr Stolper,"[203720, 49578]"
Aleksandr Strizhenov,"[44839, 62999, 62731]"
Aleksandr Tatarskiy,"[333372, 129229, 145760]"
Aleksandr Uralsky,[46744]
